B039 120.7908 24.4897   160.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181206 99999999
B041 120.6956 24.3898    95.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180911 99999999
B043 120.9598 24.6866    88.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181206 99999999
B045 120.9205 24.5399   201.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180911 99999999
B048 120.5971 24.1781   192.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20220704 99999999
B049 120.6997 24.1773   134.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181018 99999999
B050 120.6417 24.1799   100.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180912 20220804
B050 120.6417 24.1799   100.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20220930 20221121
B050 120.6417 24.1799   100.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20221121 99999999
B051 120.6597 24.1598    96.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181206 99999999
B052 120.7480 24.1959   218.0 0 1 CWB  CSMT  FBA 3.2500E-04 3.2000E-04 3.2000E-04  1   0.0 20220704 99999999
B053 120.6788 24.1917   137.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181206 99999999
B056 120.6335 24.1570    77.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181206 20221125
B056 120.6335 24.1570    77.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20221125 99999999
B059 120.5718 24.2670     9.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181008 99999999
B060 120.6503 24.2219   139.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180920 99999999
B061 120.5569 24.1345    38.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181004 99999999
B062 120.6842 24.1149    65.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180921 99999999
B063 120.6238 24.1078    34.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180911 99999999
B064 120.6194 24.3446    50.0 0 1 CWB  CSMT  FBA 3.2200E-04 3.2200E-04 3.2200E-04  1   0.0 20220407 99999999
B066 120.7043 24.2138   174.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180927 99999999
B067 120.7282 24.0900    98.0 0 1 CWB  CSMT  FBA 3.1900E-04 3.2200E-04 3.2300E-04  1   0.0 20220704 99999999
B068 120.7732 24.2760   283.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181001 99999999
B069 120.8310 24.2596   360.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181009 99999999
B070 120.5475 24.1964    11.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180911 99999999
B071 120.7952 23.9840   219.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180921 99999999
B073 120.9573 24.0124   465.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2200E-04 3.2100E-04  1   0.0 20181206 99999999
B077 120.7874 23.8272   235.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180917 99999999
B078 120.8543 23.8096   289.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180917 99999999
B081 121.0142 24.8281    34.0 0 1 CWB  CSMT  FBA 3.2200E-04 3.2100E-04 3.2300E-04  1   0.0 20081025 20171117
B081 121.0142 24.8283    31.0 0 1 CWB  CSMT  FBA 3.2200E-04 3.2100E-04 3.2300E-04  1   0.0 20171118 99999999
B082 120.6841 24.1456    89.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2100E-04 3.2200E-04  1   0.0 20181207 99999999
B083 121.1943 24.9674   144.0 0 1 CWB  CSMT  FBA 3.2000E-04 3.2000E-04 3.2100E-04  1   0.0 20181207 99999999
B084 120.9082 23.8813   999.0 0 1 CWB  CSMT  FBA 3.2000E-04 3.2300E-04 3.2000E-04  1   0.0 20181207 99999999
B085 121.3666 24.6737   685.0 0 1 CWB  CSMT  FBA 3.2200E-04 3.1900E-04 3.2200E-04  1   0.0 20160520 99999999
B086 120.2892 23.8617     4.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2200E-04 3.2400E-04  1   0.0 20181207 99999999
B087 120.7809 24.3465   286.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2300E-04 3.2300E-04  1   0.0 20181207 99999999
B088 121.1618 24.2495  1496.0 0 1 CWB  CSMT  FBA 3.2400E-04 3.2400E-04 3.2600E-04  1   0.0 20181207 99999999
B089 120.8698 23.9050   659.0 0 1 CWB  CSMT  FBA 3.2200E-04 3.2200E-04 3.2200E-04  1   0.0 20181207 99999999
B090 120.6559 23.6462   241.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181207 99999999
B095 121.0199 24.6888   104.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180913 99999999
B097 120.9274 24.7884    16.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181207 99999999
B099 120.6993 24.1364    85.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181011 99999999
B102 120.7286 24.2470   231.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181009 99999999
B103 120.7150 24.3075   223.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181207 99999999
B104 120.6091 24.2443   212.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180920 99999999
B105 120.5678 24.2381    29.0 0 1 CWB  CSMT  FBA 3.1800E-04 3.2100E-04 3.2200E-04  1   0.0 20221013 99999999
B107 120.5469 24.0718    21.0 0 1 CWB  CSMT  FBA 3.2000E-04 3.2400E-04 3.2500E-04  1   0.0 20180413 99999999
B110 120.5798 23.9604    33.0 0 1 CWB  CSMT  FBA 3.2200E-04 3.2500E-04 3.2500E-04  1   0.0 20181207 99999999
B111 120.4949 24.1120    13.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20170823 99999999
B112 120.4303 24.0552     8.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181207 99999999
B115 120.4778 23.9579    24.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181207 99999999
B116 120.5889 23.8556    49.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181207 99999999
B117 120.4684 24.1324     6.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181207 99999999
B118 120.4313 24.0004    11.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181207 99999999
B120 120.6214 23.9774   238.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180413 99999999
B121 120.4589 23.8945    25.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181207 99999999
B122 120.6179 23.8118    85.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181011 99999999
B123 120.5516 24.0161    21.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181207 99999999
B127 121.0088 24.6296   173.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2300E-04 3.2300E-04  1   0.0 20181207 99999999
B128 120.7697 24.4144   299.0 0 1 CWB  CSMT  FBA 3.2100E-04 3.2100E-04 3.2200E-04  1   0.0 20181207 99999999
B129 120.6925 23.8766   113.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2300E-04 3.2200E-04  1   0.0 20181207 99999999
B130 121.2725 24.1434  3386.0 0 1 CWB  CSMT  FBA 3.2400E-04 3.2100E-04 3.2400E-04  1   0.0 20181207 99999999
B131 120.8258 24.5649    50.0 0 1 CWB  CSMT  FBA 3.2000E-04 3.2200E-04 3.2100E-04  1   0.0 20181207 20211006
